THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 2 WAREHOUSES, AND 10 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 570.0
WAREHOUSE VEHICLE CAPACITY: 228.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 52.0, 782.0, 0.0, 3.0, 135.0, 30.0, 3000.0, 270.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 43.0, 659.0, 0.0, 5.0, 124.0
2, 82.0, 195.0, 0.0, 6.0, 135.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
3, 408.0, 132.0, 19.0, 10.0, 76.0, 19.0
4, 305.0, 187.0, 7.0, 8.0, 28.0, 7.0
5, 462.0, 59.0, 12.0, 8.0, 24.0, 6.0
6, 358.0, 263.0, 16.0, 10.0, 64.0, 16.0
7, 486.0, 424.0, 14.0, 10.0, 28.0, 7.0
8, 425.0, 612.0, 18.0, 7.0, 72.0, 18.0
9, 292.0, 991.0, 16.0, 9.0, 64.0, 16.0
10, 270.0, 858.0, 32.0, 7.0, 64.0, 16.0
11, 132.0, 965.0, 32.0, 8.0, 64.0, 16.0
12, 87.0, 445.0, 28.0, 10.0, 56.0, 14.0
