THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 4 WAREHOUSES, AND 30 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 2625.0
WAREHOUSE VEHICLE CAPACITY: 1050.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 30.0, 798.0, 0.0, 3.0, 470.0, 30.0, 3000.0, 940.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 470.0, 520.0, 0.0, 5.0, 211.0
2, 99.0, 841.0, 0.0, 3.0, 180.0
3, 154.0, 78.0, 0.0, 4.0, 191.0
4, 461.0, 366.0, 0.0, 5.0, 192.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
5, 294.0, 124.0, 12.0, 7.0, 84.0, 12.0
6, 389.0, 384.0, 14.0, 8.0, 98.0, 14.0
7, 431.0, 403.0, 34.0, 10.0, 119.0, 17.0
8, 347.0, 51.0, 18.0, 8.0, 63.0, 9.0
9, 481.0, 330.0, 19.0, 6.0, 133.0, 19.0
10, 443.0, 443.0, 44.0, 6.0, 154.0, 22.0
11, 253.0, 46.0, 11.0, 7.0, 77.0, 11.0
12, 477.0, 415.0, 18.0, 8.0, 63.0, 9.0
13, 312.0, 441.0, 34.0, 7.0, 119.0, 17.0
14, 397.0, 69.0, 21.0, 8.0, 147.0, 21.0
15, 314.0, 499.0, 15.0, 8.0, 105.0, 15.0
16, 494.0, 107.0, 12.0, 8.0, 84.0, 12.0
17, 293.0, 64.0, 40.0, 8.0, 140.0, 20.0
18, 347.0, 247.0, 14.0, 8.0, 98.0, 14.0
19, 472.0, 454.0, 12.0, 7.0, 42.0, 6.0
20, 398.0, 924.0, 24.0, 10.0, 168.0, 24.0
21, 269.0, 512.0, 17.0, 9.0, 119.0, 17.0
22, 408.0, 750.0, 38.0, 10.0, 133.0, 19.0
23, 404.0, 648.0, 40.0, 7.0, 140.0, 20.0
24, 465.0, 704.0, 24.0, 7.0, 168.0, 24.0
25, 330.0, 913.0, 30.0, 10.0, 105.0, 15.0
26, 347.0, 777.0, 28.0, 9.0, 98.0, 14.0
27, 439.0, 705.0, 26.0, 8.0, 91.0, 13.0
28, 416.0, 531.0, 32.0, 6.0, 112.0, 16.0
29, 138.0, 860.0, 23.0, 8.0, 161.0, 23.0
30, 232.0, 850.0, 25.0, 7.0, 175.0, 25.0
31, 114.0, 816.0, 38.0, 10.0, 133.0, 19.0
32, 179.0, 174.0, 20.0, 8.0, 70.0, 10.0
33, 35.0, 181.0, 6.0, 7.0, 42.0, 6.0
34, 140.0, 1.0, 7.0, 6.0, 49.0, 7.0
