THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 5 WAREHOUSES, AND 25 CUSTOMERS.
THIS INSTANCE HAS 3 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 1080.0
WAREHOUSE VEHICLE CAPACITY: 432.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 80.0, 784.0, 0.0, 3.0, 398.0, 30.0, 3000.0, 796.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 414.0, 814.0, 0.0, 3.0, 132.0
2, 74.0, 781.0, 0.0, 4.0, 132.0
3, 41.0, 355.0, 0.0, 6.0, 132.0
4, 238.0, 31.0, 0.0, 4.0, 132.0
5, 385.0, 130.0, 0.0, 4.0, 132.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
6, 325.0, 302.0, 12.0, 7.0, 48.0, 12.0
7, 332.0, 79.0, 20.0, 9.0, 80.0, 20.0
8, 367.0, 392.0, 32.0, 6.0, 64.0, 16.0
9, 295.0, 14.0, 30.0, 9.0, 60.0, 15.0
10, 306.0, 35.0, 20.0, 6.0, 40.0, 10.0
11, 274.0, 68.0, 14.0, 8.0, 56.0, 14.0
12, 492.0, 68.0, 10.0, 9.0, 40.0, 10.0
13, 403.0, 190.0, 10.0, 7.0, 40.0, 10.0
14, 392.0, 173.0, 23.0, 7.0, 92.0, 23.0
15, 350.0, 199.0, 44.0, 9.0, 88.0, 22.0
16, 408.0, 213.0, 21.0, 8.0, 84.0, 21.0
17, 339.0, 282.0, 26.0, 7.0, 52.0, 13.0
18, 351.0, 640.0, 13.0, 10.0, 52.0, 13.0
19, 436.0, 545.0, 21.0, 10.0, 84.0, 21.0
20, 356.0, 913.0, 19.0, 7.0, 76.0, 19.0
21, 390.0, 659.0, 28.0, 9.0, 56.0, 14.0
22, 432.0, 732.0, 12.0, 9.0, 24.0, 6.0
23, 265.0, 648.0, 24.0, 8.0, 96.0, 24.0
24, 367.0, 835.0, 38.0, 10.0, 76.0, 19.0
25, 161.0, 808.0, 8.0, 6.0, 32.0, 8.0
26, 106.0, 823.0, 18.0, 6.0, 72.0, 18.0
27, 186.0, 665.0, 9.0, 9.0, 36.0, 9.0
28, 75.0, 350.0, 40.0, 9.0, 80.0, 20.0
29, 143.0, 68.0, 24.0, 7.0, 96.0, 24.0
30, 192.0, 273.0, 34.0, 7.0, 68.0, 17.0
