ORIGINAL INSTANCE: ABS49_50_1
THIS IS AN INSTANCE FOR THE TWO ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 10 WAREHOUSES, AND 30 RETAILERS.
THIS INSTANCE HAS 6 PERIODS, 3 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 723.0
WAREHOUSE VEHICLE CAPACITY: 207.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 715.0, 495.0, 0.0, 3.0, 472.0, 30.0, 3000.0, 944.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 1472.0, 364.0, 0.0, 4.0, 308.0
2, 48.0, 1748.0, 0.0, 4.0, 245.0
3, 65.0, 428.0, 0.0, 3.0, 381.0
4, 490.0, 2358.0, 0.0, 5.0, 434.0
5, 1254.0, 1420.0, 0.0, 3.0, 378.0
6, 1505.0, 1395.0, 0.0, 3.0, 416.0
7, 723.0, 2270.0, 0.0, 3.0, 413.0
8, 2205.0, 1725.0, 0.0, 4.0, 311.0
9, 1915.0, 398.0, 0.0, 3.0, 320.0
10, 648.0, 1451.0, 0.0, 6.0, 276.0
RETAILER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
11, 445.0, 795.0, 10.0, 6.0, 20.0, 10.0
12, 380.0, 1570.0, 30.0, 9.0, 45.0, 15.0
13, 1425.0, 315.0, 30.0, 7.0, 45.0, 15.0
14, 2005.0, 1625.0, 7.0, 8.0, 14.0, 7.0
15, 80.0, 1550.0, 26.0, 6.0, 39.0, 13.0
16, 1335.0, 2005.0, 80.0, 6.0, 96.0, 16.0
17, 1245.0, 615.0, 110.0, 8.0, 132.0, 22.0
18, 2385.0, 1190.0, 13.0, 8.0, 26.0, 13.0
19, 1870.0, 970.0, 95.0, 9.0, 114.0, 19.0
20, 1385.0, 505.0, 88.0, 7.0, 110.0, 22.0
21, 2225.0, 70.0, 76.0, 8.0, 95.0, 19.0
22, 1560.0, 2250.0, 42.0, 9.0, 63.0, 21.0
23, 2105.0, 1065.0, 95.0, 6.0, 114.0, 19.0
24, 395.0, 355.0, 38.0, 6.0, 57.0, 19.0
25, 530.0, 2365.0, 10.0, 8.0, 15.0, 5.0
26, 1785.0, 1025.0, 22.0, 8.0, 44.0, 22.0
27, 325.0, 325.0, 75.0, 6.0, 90.0, 15.0
28, 225.0, 2210.0, 14.0, 7.0, 28.0, 14.0
29, 685.0, 230.0, 24.0, 6.0, 30.0, 6.0
30, 5.0, 405.0, 38.0, 7.0, 57.0, 19.0
31, 1035.0, 175.0, 28.0, 8.0, 42.0, 14.0
32, 65.0, 910.0, 90.0, 8.0, 108.0, 18.0
33, 1770.0, 630.0, 72.0, 9.0, 90.0, 18.0
34, 2340.0, 335.0, 16.0, 9.0, 24.0, 8.0
35, 595.0, 1955.0, 115.0, 8.0, 138.0, 23.0
36, 450.0, 1135.0, 22.0, 6.0, 44.0, 22.0
37, 790.0, 870.0, 110.0, 8.0, 132.0, 22.0
38, 2215.0, 1130.0, 75.0, 7.0, 90.0, 15.0
39, 1630.0, 2020.0, 35.0, 8.0, 42.0, 7.0
40, 375.0, 2325.0, 14.0, 9.0, 28.0, 14.0
