ORIGINAL INSTANCE: ABS49_50_1
THIS IS AN INSTANCE FOR THE TWO ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 3 WAREHOUSES, AND 30 RETAILERS.
THIS INSTANCE HAS 3 PERIODS, 4 VEHICLES AT THE PRODUCTION PLANT, AND 3 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 238.0
WAREHOUSE VEHICLE CAPACITY: 138.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 715.0, 495.0, 0.0, 3.0, 472.0, 30.0, 3000.0, 944.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 364.0, 1471.0, 0.0, 3.0, 108.0
2, 1747.0, 48.0, 0.0, 5.0, 46.0
3, 428.0, 65.0, 0.0, 3.0, 308.0
RETAILER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
4, 445.0, 795.0, 10.0, 6.0, 30.0, 10.0
5, 380.0, 1570.0, 30.0, 9.0, 60.0, 15.0
6, 1425.0, 315.0, 30.0, 7.0, 60.0, 15.0
7, 2005.0, 1625.0, 7.0, 8.0, 21.0, 7.0
8, 80.0, 1550.0, 26.0, 6.0, 52.0, 13.0
9, 1335.0, 2005.0, 80.0, 6.0, 112.0, 16.0
10, 1245.0, 615.0, 110.0, 8.0, 154.0, 22.0
11, 2385.0, 1190.0, 13.0, 8.0, 39.0, 13.0
12, 1870.0, 970.0, 95.0, 9.0, 133.0, 19.0
13, 1385.0, 505.0, 88.0, 7.0, 132.0, 22.0
14, 2225.0, 70.0, 76.0, 8.0, 114.0, 19.0
15, 1560.0, 2250.0, 42.0, 9.0, 84.0, 21.0
16, 2105.0, 1065.0, 95.0, 6.0, 133.0, 19.0
17, 395.0, 355.0, 38.0, 6.0, 76.0, 19.0
18, 530.0, 2365.0, 10.0, 8.0, 20.0, 5.0
19, 1785.0, 1025.0, 22.0, 8.0, 66.0, 22.0
20, 325.0, 325.0, 75.0, 6.0, 105.0, 15.0
21, 225.0, 2210.0, 14.0, 7.0, 42.0, 14.0
22, 685.0, 230.0, 24.0, 6.0, 36.0, 6.0
23, 5.0, 405.0, 38.0, 7.0, 76.0, 19.0
24, 1035.0, 175.0, 28.0, 8.0, 56.0, 14.0
25, 65.0, 910.0, 90.0, 8.0, 126.0, 18.0
26, 1770.0, 630.0, 72.0, 9.0, 108.0, 18.0
27, 2340.0, 335.0, 16.0, 9.0, 32.0, 8.0
28, 595.0, 1955.0, 115.0, 8.0, 161.0, 23.0
29, 450.0, 1135.0, 22.0, 6.0, 66.0, 22.0
30, 790.0, 870.0, 110.0, 8.0, 154.0, 22.0
31, 2215.0, 1130.0, 75.0, 7.0, 105.0, 15.0
32, 1630.0, 2020.0, 35.0, 8.0, 49.0, 7.0
33, 375.0, 2325.0, 14.0, 9.0, 42.0, 14.0
