THIS IS AN INSTANCE FOR THE STOCHASTIC TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 2 WAREHOUSES, AND 40 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 2 VEHICLES AT THE PRODUCTION PLANT, AND 2 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 345.0
WAREHOUSE VEHICLE CAPACITY: 172.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 143.0, 99.0, 0.0, 3.0, 626.0, 30.0, 3000.0, 1252.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 100.0, 320.0, 0.0, 4.0, 408.0
2, 400.0, 134.0, 0.0, 5.0, 377.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
3, 89.0, 159.0, 10.0, 6.0, 20.0, 10.0
4, 76.0, 314.0, 30.0, 9.0, 45.0, 15.0
5, 285.0, 63.0, 30.0, 7.0, 45.0, 15.0
6, 401.0, 325.0, 7.0, 8.0, 14.0, 7.0
7, 16.0, 310.0, 26.0, 6.0, 39.0, 13.0
8, 267.0, 401.0, 80.0, 6.0, 96.0, 16.0
9, 249.0, 123.0, 110.0, 8.0, 132.0, 22.0
10, 477.0, 238.0, 13.0, 8.0, 26.0, 13.0
11, 374.0, 194.0, 95.0, 9.0, 114.0, 19.0
12, 277.0, 101.0, 88.0, 7.0, 110.0, 22.0
13, 445.0, 14.0, 76.0, 8.0, 95.0, 19.0
14, 312.0, 450.0, 42.0, 9.0, 63.0, 21.0
15, 421.0, 213.0, 95.0, 6.0, 114.0, 19.0
16, 79.0, 71.0, 38.0, 6.0, 57.0, 19.0
17, 106.0, 473.0, 10.0, 8.0, 15.0, 5.0
18, 357.0, 205.0, 22.0, 8.0, 44.0, 22.0
19, 65.0, 65.0, 75.0, 6.0, 90.0, 15.0
20, 45.0, 442.0, 14.0, 7.0, 28.0, 14.0
21, 137.0, 46.0, 24.0, 6.0, 30.0, 6.0
22, 1.0, 81.0, 38.0, 7.0, 57.0, 19.0
23, 207.0, 35.0, 28.0, 8.0, 42.0, 14.0
24, 13.0, 182.0, 90.0, 8.0, 108.0, 18.0
25, 354.0, 126.0, 72.0, 9.0, 90.0, 18.0
26, 468.0, 67.0, 16.0, 9.0, 24.0, 8.0
27, 119.0, 391.0, 115.0, 8.0, 138.0, 23.0
28, 90.0, 227.0, 22.0, 6.0, 44.0, 22.0
29, 158.0, 174.0, 110.0, 8.0, 132.0, 22.0
30, 443.0, 226.0, 75.0, 7.0, 90.0, 15.0
31, 326.0, 404.0, 35.0, 8.0, 42.0, 7.0
32, 75.0, 465.0, 14.0, 9.0, 28.0, 14.0
33, 340.0, 325.0, 24.0, 9.0, 48.0, 24.0
34, 192.0, 107.0, 36.0, 7.0, 45.0, 9.0
35, 193.0, 339.0, 65.0, 6.0, 78.0, 13.0
36, 249.0, 454.0, 44.0, 8.0, 55.0, 11.0
37, 73.0, 125.0, 60.0, 7.0, 75.0, 15.0
38, 293.0, 430.0, 88.0, 8.0, 110.0, 22.0
39, 422.0, 235.0, 65.0, 9.0, 78.0, 13.0
40, 295.0, 252.0, 70.0, 9.0, 84.0, 14.0
41, 477.0, 300.0, 21.0, 7.0, 42.0, 21.0
42, 278.0, 408.0, 24.0, 6.0, 36.0, 12.0
