THIS IS AN INSTANCE FOR THE STOCHASTIC TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 4 WAREHOUSES, AND 50 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 2 VEHICLES AT THE PRODUCTION PLANT, AND 2 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 414.0
WAREHOUSE VEHICLE CAPACITY: 138.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 143.0, 99.0, 0.0, 3.0, 761.0, 30.0, 3000.0, 1522.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 53.0, 363.0, 0.0, 4.0, 240.0
2, 429.0, 93.0, 0.0, 6.0, 192.0
3, 231.0, 81.0, 0.0, 4.0, 317.0
4, 425.0, 468.0, 0.0, 3.0, 215.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
5, 89.0, 159.0, 10.0, 6.0, 20.0, 10.0
6, 76.0, 314.0, 30.0, 9.0, 45.0, 15.0
7, 285.0, 63.0, 30.0, 7.0, 45.0, 15.0
8, 401.0, 325.0, 7.0, 8.0, 14.0, 7.0
9, 16.0, 310.0, 26.0, 6.0, 39.0, 13.0
10, 267.0, 401.0, 80.0, 6.0, 96.0, 16.0
11, 249.0, 123.0, 110.0, 8.0, 132.0, 22.0
12, 477.0, 238.0, 13.0, 8.0, 26.0, 13.0
13, 374.0, 194.0, 95.0, 9.0, 114.0, 19.0
14, 277.0, 101.0, 88.0, 7.0, 110.0, 22.0
15, 445.0, 14.0, 76.0, 8.0, 95.0, 19.0
16, 312.0, 450.0, 42.0, 9.0, 63.0, 21.0
17, 421.0, 213.0, 95.0, 6.0, 114.0, 19.0
18, 79.0, 71.0, 38.0, 6.0, 57.0, 19.0
19, 106.0, 473.0, 10.0, 8.0, 15.0, 5.0
20, 357.0, 205.0, 22.0, 8.0, 44.0, 22.0
21, 65.0, 65.0, 75.0, 6.0, 90.0, 15.0
22, 45.0, 442.0, 14.0, 7.0, 28.0, 14.0
23, 137.0, 46.0, 24.0, 6.0, 30.0, 6.0
24, 1.0, 81.0, 38.0, 7.0, 57.0, 19.0
25, 207.0, 35.0, 28.0, 8.0, 42.0, 14.0
26, 13.0, 182.0, 90.0, 8.0, 108.0, 18.0
27, 354.0, 126.0, 72.0, 9.0, 90.0, 18.0
28, 468.0, 67.0, 16.0, 9.0, 24.0, 8.0
29, 119.0, 391.0, 115.0, 8.0, 138.0, 23.0
30, 90.0, 227.0, 22.0, 6.0, 44.0, 22.0
31, 158.0, 174.0, 110.0, 8.0, 132.0, 22.0
32, 443.0, 226.0, 75.0, 7.0, 90.0, 15.0
33, 326.0, 404.0, 35.0, 8.0, 42.0, 7.0
34, 75.0, 465.0, 14.0, 9.0, 28.0, 14.0
35, 340.0, 325.0, 24.0, 9.0, 48.0, 24.0
36, 192.0, 107.0, 36.0, 7.0, 45.0, 9.0
37, 193.0, 339.0, 65.0, 6.0, 78.0, 13.0
38, 249.0, 454.0, 44.0, 8.0, 55.0, 11.0
39, 73.0, 125.0, 60.0, 7.0, 75.0, 15.0
40, 293.0, 430.0, 88.0, 8.0, 110.0, 22.0
41, 422.0, 235.0, 65.0, 9.0, 78.0, 13.0
42, 295.0, 252.0, 70.0, 9.0, 84.0, 14.0
43, 477.0, 300.0, 21.0, 7.0, 42.0, 21.0
44, 278.0, 408.0, 24.0, 6.0, 36.0, 12.0
45, 74.0, 377.0, 18.0, 9.0, 27.0, 9.0
46, 491.0, 231.0, 96.0, 8.0, 120.0, 24.0
47, 204.0, 475.0, 32.0, 9.0, 40.0, 8.0
48, 70.0, 316.0, 85.0, 8.0, 102.0, 17.0
49, 282.0, 219.0, 34.0, 6.0, 51.0, 17.0
50, 126.0, 412.0, 25.0, 8.0, 30.0, 5.0
51, 244.0, 344.0, 10.0, 9.0, 15.0, 5.0
52, 232.0, 351.0, 40.0, 7.0, 60.0, 20.0
53, 480.0, 493.0, 76.0, 7.0, 95.0, 19.0
54, 63.0, 477.0, 22.0, 9.0, 33.0, 11.0
