THIS IS AN INSTANCE FOR THE STOCHASTIC TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 3 WAREHOUSES, AND 20 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 396.0
WAREHOUSE VEHICLE CAPACITY: 132.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 715.0, 495.0, 0.0, 3.0, 311.0, 30.0, 3000.0, 622.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 2081.0, 340.0, 0.0, 5.0, 154.0
2, 1065.0, 2104.0, 0.0, 3.0, 83.0
3, 390.0, 519.0, 0.0, 5.0, 144.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
4, 445.0, 795.0, 10.0, 6.0, 20.0, 10.0
5, 380.0, 1570.0, 30.0, 9.0, 45.0, 15.0
6, 1425.0, 315.0, 30.0, 7.0, 45.0, 15.0
7, 2005.0, 1625.0, 7.0, 8.0, 14.0, 7.0
8, 80.0, 1550.0, 26.0, 6.0, 39.0, 13.0
9, 1335.0, 2005.0, 80.0, 6.0, 96.0, 16.0
10, 1245.0, 615.0, 110.0, 8.0, 132.0, 22.0
11, 2385.0, 1190.0, 13.0, 8.0, 26.0, 13.0
12, 1870.0, 970.0, 95.0, 9.0, 114.0, 19.0
13, 1385.0, 505.0, 88.0, 7.0, 110.0, 22.0
14, 2225.0, 70.0, 76.0, 8.0, 95.0, 19.0
15, 1560.0, 2250.0, 42.0, 9.0, 63.0, 21.0
16, 2105.0, 1065.0, 95.0, 6.0, 114.0, 19.0
17, 395.0, 355.0, 38.0, 6.0, 57.0, 19.0
18, 530.0, 2365.0, 10.0, 8.0, 15.0, 5.0
19, 1785.0, 1025.0, 22.0, 8.0, 44.0, 22.0
20, 325.0, 325.0, 75.0, 6.0, 90.0, 15.0
21, 225.0, 2210.0, 14.0, 7.0, 28.0, 14.0
22, 685.0, 230.0, 24.0, 6.0, 30.0, 6.0
23, 5.0, 405.0, 38.0, 7.0, 57.0, 19.0
