THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 5 WAREHOUSES, AND 50 CUSTOMERS.
THIS INSTANCE HAS 3 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 1687.0
WAREHOUSE VEHICLE CAPACITY: 675.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 48.0, 959.0, 0.0, 3.0, 818.0, 30.0, 3000.0, 1636.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 467.0, 583.0, 0.0, 3.0, 317.0
2, 309.0, 953.0, 0.0, 4.0, 271.0
3, 52.0, 704.0, 0.0, 4.0, 232.0
4, 196.0, 45.0, 0.0, 5.0, 273.0
5, 456.0, 334.0, 0.0, 6.0, 319.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
6, 247.0, 368.0, 24.0, 9.0, 72.0, 24.0
7, 455.0, 214.0, 17.0, 10.0, 51.0, 17.0
8, 327.0, 411.0, 23.0, 8.0, 69.0, 23.0
9, 356.0, 414.0, 25.0, 8.0, 75.0, 25.0
10, 469.0, 210.0, 14.0, 8.0, 42.0, 14.0
11, 422.0, 98.0, 34.0, 7.0, 51.0, 17.0
12, 348.0, 162.0, 38.0, 10.0, 57.0, 19.0
13, 370.0, 383.0, 13.0, 9.0, 39.0, 13.0
14, 259.0, 421.0, 22.0, 9.0, 66.0, 22.0
15, 312.0, 150.0, 24.0, 9.0, 36.0, 12.0
16, 462.0, 144.0, 28.0, 10.0, 42.0, 14.0
17, 350.0, 226.0, 30.0, 7.0, 45.0, 15.0
18, 353.0, 432.0, 24.0, 9.0, 72.0, 24.0
19, 436.0, 127.0, 30.0, 7.0, 45.0, 15.0
20, 365.0, 39.0, 8.0, 10.0, 24.0, 8.0
21, 357.0, 97.0, 22.0, 8.0, 33.0, 11.0
22, 386.0, 409.0, 11.0, 7.0, 33.0, 11.0
23, 281.0, 115.0, 38.0, 7.0, 57.0, 19.0
24, 354.0, 450.0, 20.0, 7.0, 60.0, 20.0
25, 384.0, 59.0, 38.0, 10.0, 57.0, 19.0
26, 396.0, 419.0, 15.0, 7.0, 45.0, 15.0
27, 421.0, 110.0, 25.0, 10.0, 75.0, 25.0
28, 361.0, 460.0, 46.0, 6.0, 69.0, 23.0
29, 320.0, 48.0, 40.0, 8.0, 60.0, 20.0
30, 294.0, 46.0, 34.0, 7.0, 51.0, 17.0
31, 306.0, 807.0, 36.0, 9.0, 54.0, 18.0
32, 461.0, 859.0, 18.0, 7.0, 54.0, 18.0
33, 283.0, 718.0, 50.0, 10.0, 75.0, 25.0
34, 239.0, 740.0, 16.0, 7.0, 24.0, 8.0
35, 337.0, 735.0, 14.0, 8.0, 21.0, 7.0
36, 283.0, 680.0, 10.0, 9.0, 30.0, 10.0
37, 297.0, 706.0, 13.0, 7.0, 39.0, 13.0
38, 310.0, 574.0, 20.0, 9.0, 30.0, 10.0
39, 337.0, 898.0, 14.0, 8.0, 42.0, 14.0
40, 452.0, 859.0, 20.0, 10.0, 60.0, 20.0
41, 358.0, 809.0, 20.0, 9.0, 60.0, 20.0
42, 370.0, 926.0, 34.0, 9.0, 51.0, 17.0
43, 336.0, 935.0, 22.0, 8.0, 33.0, 11.0
44, 287.0, 674.0, 34.0, 7.0, 51.0, 17.0
45, 316.0, 706.0, 11.0, 9.0, 33.0, 11.0
46, 85.0, 800.0, 17.0, 9.0, 51.0, 17.0
47, 206.0, 868.0, 23.0, 10.0, 69.0, 23.0
48, 227.0, 669.0, 36.0, 9.0, 54.0, 18.0
49, 195.0, 756.0, 10.0, 10.0, 30.0, 10.0
50, 74.0, 513.0, 16.0, 7.0, 48.0, 16.0
51, 105.0, 180.0, 36.0, 7.0, 54.0, 18.0
52, 97.0, 192.0, 15.0, 7.0, 45.0, 15.0
53, 104.0, 72.0, 20.0, 7.0, 30.0, 10.0
54, 104.0, 397.0, 50.0, 9.0, 75.0, 25.0
55, 125.0, 231.0, 10.0, 7.0, 15.0, 5.0
