THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 4 WAREHOUSES, AND 30 CUSTOMERS.
THIS INSTANCE HAS 3 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 1080.0
WAREHOUSE VEHICLE CAPACITY: 432.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 78.0, 796.0, 0.0, 3.0, 447.0, 30.0, 3000.0, 894.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 441.0, 734.0, 0.0, 5.0, 193.0
2, 96.0, 835.0, 0.0, 5.0, 193.0
3, 38.0, 374.0, 0.0, 3.0, 185.0
4, 271.0, 32.0, 0.0, 5.0, 172.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
5, 250.0, 60.0, 17.0, 9.0, 51.0, 17.0
6, 296.0, 240.0, 24.0, 8.0, 72.0, 24.0
7, 356.0, 218.0, 7.0, 7.0, 21.0, 7.0
8, 364.0, 93.0, 12.0, 6.0, 36.0, 12.0
9, 464.0, 114.0, 44.0, 6.0, 66.0, 22.0
10, 278.0, 467.0, 12.0, 7.0, 36.0, 12.0
11, 401.0, 169.0, 17.0, 8.0, 51.0, 17.0
12, 335.0, 226.0, 8.0, 10.0, 24.0, 8.0
13, 264.0, 82.0, 36.0, 9.0, 54.0, 18.0
14, 429.0, 96.0, 46.0, 6.0, 69.0, 23.0
15, 268.0, 53.0, 23.0, 9.0, 69.0, 23.0
16, 268.0, 316.0, 38.0, 8.0, 57.0, 19.0
17, 265.0, 354.0, 10.0, 8.0, 30.0, 10.0
18, 326.0, 150.0, 6.0, 6.0, 18.0, 6.0
19, 386.0, 445.0, 16.0, 9.0, 48.0, 16.0
20, 319.0, 497.0, 23.0, 7.0, 69.0, 23.0
21, 299.0, 722.0, 32.0, 9.0, 48.0, 16.0
22, 388.0, 614.0, 22.0, 9.0, 33.0, 11.0
23, 418.0, 965.0, 42.0, 7.0, 63.0, 21.0
24, 250.0, 805.0, 18.0, 8.0, 27.0, 9.0
25, 249.0, 533.0, 14.0, 7.0, 42.0, 14.0
26, 290.0, 750.0, 21.0, 6.0, 63.0, 21.0
27, 360.0, 947.0, 28.0, 8.0, 42.0, 14.0
28, 297.0, 810.0, 6.0, 7.0, 18.0, 6.0
29, 54.0, 751.0, 7.0, 9.0, 21.0, 7.0
30, 220.0, 727.0, 48.0, 10.0, 72.0, 24.0
31, 146.0, 577.0, 10.0, 10.0, 30.0, 10.0
32, 31.0, 400.0, 14.0, 7.0, 21.0, 7.0
33, 53.0, 418.0, 14.0, 7.0, 42.0, 14.0
34, 126.0, 82.0, 32.0, 9.0, 48.0, 16.0
