THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 3 WAREHOUSES, AND 30 CUSTOMERS.
THIS INSTANCE HAS 3 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 1500.0
WAREHOUSE VEHICLE CAPACITY: 600.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 42.0, 945.0, 0.0, 3.0, 434.0, 30.0, 3000.0, 868.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 389.0, 864.0, 0.0, 6.0, 264.0
2, 88.0, 181.0, 0.0, 5.0, 258.0
3, 236.0, 31.0, 0.0, 6.0, 220.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
4, 405.0, 130.0, 15.0, 6.0, 60.0, 15.0
5, 467.0, 260.0, 20.0, 6.0, 80.0, 20.0
6, 425.0, 213.0, 16.0, 9.0, 64.0, 16.0
7, 377.0, 455.0, 28.0, 8.0, 56.0, 14.0
8, 372.0, 351.0, 28.0, 8.0, 56.0, 14.0
9, 249.0, 80.0, 30.0, 7.0, 60.0, 15.0
10, 323.0, 443.0, 20.0, 9.0, 40.0, 10.0
11, 447.0, 236.0, 22.0, 8.0, 88.0, 22.0
12, 319.0, 351.0, 6.0, 7.0, 24.0, 6.0
13, 296.0, 375.0, 34.0, 9.0, 68.0, 17.0
14, 402.0, 257.0, 44.0, 8.0, 88.0, 22.0
15, 291.0, 297.0, 32.0, 8.0, 64.0, 16.0
16, 339.0, 186.0, 30.0, 9.0, 60.0, 15.0
17, 311.0, 358.0, 8.0, 8.0, 32.0, 8.0
18, 380.0, 266.0, 22.0, 9.0, 88.0, 22.0
19, 298.0, 694.0, 14.0, 6.0, 28.0, 7.0
20, 442.0, 716.0, 32.0, 8.0, 64.0, 16.0
21, 386.0, 772.0, 20.0, 9.0, 80.0, 20.0
22, 339.0, 673.0, 20.0, 10.0, 40.0, 10.0
23, 252.0, 847.0, 10.0, 9.0, 20.0, 5.0
24, 438.0, 573.0, 15.0, 8.0, 60.0, 15.0
25, 301.0, 669.0, 20.0, 9.0, 80.0, 20.0
26, 304.0, 501.0, 50.0, 9.0, 100.0, 25.0
27, 420.0, 503.0, 14.0, 7.0, 28.0, 7.0
28, 105.0, 639.0, 13.0, 7.0, 52.0, 13.0
29, 33.0, 555.0, 23.0, 7.0, 92.0, 23.0
30, 150.0, 812.0, 13.0, 8.0, 52.0, 13.0
31, 148.0, 302.0, 9.0, 6.0, 36.0, 9.0
32, 224.0, 415.0, 13.0, 6.0, 52.0, 13.0
33, 199.0, 330.0, 12.0, 8.0, 24.0, 6.0
