THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 2 WAREHOUSES, AND 25 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 1 VEHICLES AT THE PRODUCTION PLANT, AND 1 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 1810.0
WAREHOUSE VEHICLE CAPACITY: 724.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 102.0, 892.0, 0.0, 3.0, 333.0, 30.0, 3000.0, 666.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 48.0, 685.0, 0.0, 5.0, 242.0
2, 451.0, 310.0, 0.0, 6.0, 237.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
3, 383.0, 200.0, 18.0, 8.0, 63.0, 9.0
4, 401.0, 191.0, 6.0, 9.0, 42.0, 6.0
5, 346.0, 267.0, 10.0, 8.0, 70.0, 10.0
6, 288.0, 396.0, 22.0, 6.0, 154.0, 22.0
7, 367.0, 116.0, 12.0, 7.0, 42.0, 6.0
8, 433.0, 163.0, 15.0, 9.0, 105.0, 15.0
9, 401.0, 69.0, 32.0, 6.0, 112.0, 16.0
10, 270.0, 349.0, 23.0, 10.0, 161.0, 23.0
11, 283.0, 404.0, 9.0, 8.0, 63.0, 9.0
12, 349.0, 307.0, 7.0, 6.0, 49.0, 7.0
13, 341.0, 305.0, 7.0, 10.0, 49.0, 7.0
14, 255.0, 161.0, 34.0, 10.0, 119.0, 17.0
15, 279.0, 486.0, 8.0, 8.0, 56.0, 8.0
16, 375.0, 546.0, 46.0, 10.0, 161.0, 23.0
17, 460.0, 715.0, 8.0, 9.0, 56.0, 8.0
18, 465.0, 513.0, 40.0, 9.0, 140.0, 20.0
19, 365.0, 883.0, 9.0, 8.0, 63.0, 9.0
20, 319.0, 825.0, 34.0, 10.0, 119.0, 17.0
21, 322.0, 955.0, 19.0, 8.0, 133.0, 19.0
22, 234.0, 566.0, 15.0, 8.0, 105.0, 15.0
23, 114.0, 533.0, 7.0, 8.0, 49.0, 7.0
24, 39.0, 617.0, 5.0, 9.0, 35.0, 5.0
25, 107.0, 385.0, 44.0, 7.0, 154.0, 22.0
26, 128.0, 48.0, 42.0, 9.0, 147.0, 21.0
27, 129.0, 447.0, 12.0, 6.0, 84.0, 12.0
