THIS IS AN INSTANCE FOR THE STOCHASTIC TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 3 WAREHOUSES, AND 50 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 2 VEHICLES AT THE PRODUCTION PLANT, AND 3 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 184.0
WAREHOUSE VEHICLE CAPACITY: 92.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 143.0, 99.0, 0.0, 3.0, 761.0, 30.0, 3000.0, 1522.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 93.0, 356.0, 0.0, 4.0, 323.0
2, 243.0, 77.0, 0.0, 3.0, 436.0
3, 452.0, 390.0, 0.0, 3.0, 249.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
4, 89.0, 159.0, 10.0, 6.0, 20.0, 10.0
5, 76.0, 314.0, 30.0, 9.0, 45.0, 15.0
6, 285.0, 63.0, 30.0, 7.0, 45.0, 15.0
7, 401.0, 325.0, 7.0, 8.0, 14.0, 7.0
8, 16.0, 310.0, 26.0, 6.0, 39.0, 13.0
9, 267.0, 401.0, 80.0, 6.0, 96.0, 16.0
10, 249.0, 123.0, 110.0, 8.0, 132.0, 22.0
11, 477.0, 238.0, 13.0, 8.0, 26.0, 13.0
12, 374.0, 194.0, 95.0, 9.0, 114.0, 19.0
13, 277.0, 101.0, 88.0, 7.0, 110.0, 22.0
14, 445.0, 14.0, 76.0, 8.0, 95.0, 19.0
15, 312.0, 450.0, 42.0, 9.0, 63.0, 21.0
16, 421.0, 213.0, 95.0, 6.0, 114.0, 19.0
17, 79.0, 71.0, 38.0, 6.0, 57.0, 19.0
18, 106.0, 473.0, 10.0, 8.0, 15.0, 5.0
19, 357.0, 205.0, 22.0, 8.0, 44.0, 22.0
20, 65.0, 65.0, 75.0, 6.0, 90.0, 15.0
21, 45.0, 442.0, 14.0, 7.0, 28.0, 14.0
22, 137.0, 46.0, 24.0, 6.0, 30.0, 6.0
23, 1.0, 81.0, 38.0, 7.0, 57.0, 19.0
24, 207.0, 35.0, 28.0, 8.0, 42.0, 14.0
25, 13.0, 182.0, 90.0, 8.0, 108.0, 18.0
26, 354.0, 126.0, 72.0, 9.0, 90.0, 18.0
27, 468.0, 67.0, 16.0, 9.0, 24.0, 8.0
28, 119.0, 391.0, 115.0, 8.0, 138.0, 23.0
29, 90.0, 227.0, 22.0, 6.0, 44.0, 22.0
30, 158.0, 174.0, 110.0, 8.0, 132.0, 22.0
31, 443.0, 226.0, 75.0, 7.0, 90.0, 15.0
32, 326.0, 404.0, 35.0, 8.0, 42.0, 7.0
33, 75.0, 465.0, 14.0, 9.0, 28.0, 14.0
34, 340.0, 325.0, 24.0, 9.0, 48.0, 24.0
35, 192.0, 107.0, 36.0, 7.0, 45.0, 9.0
36, 193.0, 339.0, 65.0, 6.0, 78.0, 13.0
37, 249.0, 454.0, 44.0, 8.0, 55.0, 11.0
38, 73.0, 125.0, 60.0, 7.0, 75.0, 15.0
39, 293.0, 430.0, 88.0, 8.0, 110.0, 22.0
40, 422.0, 235.0, 65.0, 9.0, 78.0, 13.0
41, 295.0, 252.0, 70.0, 9.0, 84.0, 14.0
42, 477.0, 300.0, 21.0, 7.0, 42.0, 21.0
43, 278.0, 408.0, 24.0, 6.0, 36.0, 12.0
44, 74.0, 377.0, 18.0, 9.0, 27.0, 9.0
45, 491.0, 231.0, 96.0, 8.0, 120.0, 24.0
46, 204.0, 475.0, 32.0, 9.0, 40.0, 8.0
47, 70.0, 316.0, 85.0, 8.0, 102.0, 17.0
48, 282.0, 219.0, 34.0, 6.0, 51.0, 17.0
49, 126.0, 412.0, 25.0, 8.0, 30.0, 5.0
50, 244.0, 344.0, 10.0, 9.0, 15.0, 5.0
51, 232.0, 351.0, 40.0, 7.0, 60.0, 20.0
52, 480.0, 493.0, 76.0, 7.0, 95.0, 19.0
53, 63.0, 477.0, 22.0, 9.0, 33.0, 11.0
