THIS IS AN INSTANCE FOR THE STOCHASTIC TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 5 WAREHOUSES, AND 20 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 2 VEHICLES AT THE PRODUCTION PLANT, AND 3 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 52.0
WAREHOUSE VEHICLE CAPACITY: 26.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 143.0, 99.0, 0.0, 3.0, 311.0, 30.0, 3000.0, 622.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 88.0, 437.0, 0.0, 4.0, 54.0
2, 84.0, 134.0, 0.0, 4.0, 79.0
3, 403.0, 290.0, 0.0, 5.0, 109.0
4, 272.0, 406.0, 0.0, 3.0, 52.0
5, 349.0, 59.0, 0.0, 6.0, 111.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
6, 89.0, 159.0, 10.0, 6.0, 20.0, 10.0
7, 76.0, 314.0, 30.0, 9.0, 45.0, 15.0
8, 285.0, 63.0, 30.0, 7.0, 45.0, 15.0
9, 401.0, 325.0, 7.0, 8.0, 14.0, 7.0
10, 16.0, 310.0, 26.0, 6.0, 39.0, 13.0
11, 267.0, 401.0, 80.0, 6.0, 96.0, 16.0
12, 249.0, 123.0, 110.0, 8.0, 132.0, 22.0
13, 477.0, 238.0, 13.0, 8.0, 26.0, 13.0
14, 374.0, 194.0, 95.0, 9.0, 114.0, 19.0
15, 277.0, 101.0, 88.0, 7.0, 110.0, 22.0
16, 445.0, 14.0, 76.0, 8.0, 95.0, 19.0
17, 312.0, 450.0, 42.0, 9.0, 63.0, 21.0
18, 421.0, 213.0, 95.0, 6.0, 114.0, 19.0
19, 79.0, 71.0, 38.0, 6.0, 57.0, 19.0
20, 106.0, 473.0, 10.0, 8.0, 15.0, 5.0
21, 357.0, 205.0, 22.0, 8.0, 44.0, 22.0
22, 65.0, 65.0, 75.0, 6.0, 90.0, 15.0
23, 45.0, 442.0, 14.0, 7.0, 28.0, 14.0
24, 137.0, 46.0, 24.0, 6.0, 30.0, 6.0
25, 1.0, 81.0, 38.0, 7.0, 57.0, 19.0
